Abandon>>|<<v.>>|<<Abandonment; relinquishment.
Leve>>|<<n. &amp; v.>>|<<Same as 3d &amp; 4th Leave.
Lick>>|<<v.>>|<<A stroke of the tongue in licking.
Lick>>|<<v.>>|<<A quick and careless application of anything, as if by a stroke of the tongue, or of something which acts like a tongue; as, to put on colors with a lick of the brush. Also, a small quantity of any substance so applied.
Lick>>|<<v.>>|<<A place where salt is found on the surface of the earth, to which wild animals resort to lick it up; -- often, but not always, near salt springs.
Load>>|<<v.>>|<<A burden; that which is laid on or put in anything for conveyance; that which is borne or sustained; a weight; as, a heavy load.
Load>>|<<v.>>|<<The quantity which can be carried or drawn in some specified way; the contents of a cart, barrow, or vessel; that which will constitute a cargo; lading.
Load>>|<<v.>>|<<That which burdens, oppresses, or grieves the mind or spirits; as, a load of care.
Load>>|<<v.>>|<<A particular measure for certain articles, being as much as may be carried at one time by the conveyance commonly used for the article measured; as, a load of wood; a load of hay; specifically, five quarters.
Load>>|<<v.>>|<<The charge of a firearm; as, a load of powder.
Load>>|<<v.>>|<<Weight or violence of blows.
Load>>|<<v.>>|<<The work done by a steam engine or other prime mover when working.
Lodgment>>|<<v.>>|<<The act of lodging, or the state of being lodged.
Lodgment>>|<<v.>>|<<A lodging place; a room.
Lodgment>>|<<v.>>|<<An accumulation or collection of something deposited in a place or remaining at rest.
Lodgment>>|<<v.>>|<<The occupation and holding of a position, as by a besieging party; an instrument thrown up in a captured position; as, to effect a lodgment.
Logge>>|<<n. &amp; v.>>|<<See Lodge.
Loricate>>|<<v.>>|<<Covered with a shell or exterior made of plates somewhat like a coat of mail, as in the armadillo.
Maculate>>|<<v.>>|<<To spot; to stain; to blur.
Macule>>|<<v.>>|<<To blur; especially (Print.), to blur or double an impression from type. See Mackle.
Maim>>|<<v.>>|<<The privation of the use of a limb or member of the body, by which one is rendered less able to defend himself or to annoy his adversary.
Maim>>|<<v.>>|<<The privation of any necessary part; a crippling; mutilation; injury; deprivation of something essential. See Mayhem.
Main>>|<<v.>>|<<Strength; force; might; violent effort.
Main>>|<<v.>>|<<The chief or principal part; the main or most important thing.
Main>>|<<v.>>|<<The great sea, as distinguished from an arm, bay, etc. ; the high sea; the ocean.
Main>>|<<v.>>|<<The continent, as distinguished from an island; the mainland.
Main>>|<<v.>>|<<principal duct or pipe, as distinguished from lesser ones; esp. (Engin.), a principal pipe leading to or from a reservoir; as, a fire main.
Manace>>|<<n. &amp; v.>>|<<Same as Menace.
Management>>|<<v.>>|<<The act or art of managing; the manner of treating, directing, carrying on, or using, for a purpose; conduct; administration; guidance; control; as, the management of a family or of a farm; the management of state affairs.
Management>>|<<v.>>|<<Business dealing; negotiation; arrangement.
Management>>|<<v.>>|<<Judicious use of means to accomplish an end; conduct directed by art or address; skillful treatment; cunning practice; -- often in a bad sense.
Management>>|<<v.>>|<<The collective body of those who manage or direct any enterprise or interest; the board of managers.
Manoeuvre>>|<<n. &amp; v.>>|<<See Maneuver.
Mar>>|<<v.>>|<<To make defective; to do injury to, esp. by cutting off or defacing a part; to impair; to disfigure; to deface.
Mar>>|<<v.>>|<<To spoil; to ruin.
Marauder>>|<<v.>>|<<A rover in quest of booty or plunder; a plunderer; one who pillages.
Marital>>|<<v.>>|<<Of or pertaining to a husband; as, marital rights, duties, authority.
Marline>>|<<v.>>|<<A small line composed of two strands a little twisted, used for winding around ropes and cables, to prevent their being weakened by fretting.
Mase>>|<<n. &amp; v.>>|<<See Maze.
Match>>|<<v.>>|<<A person or thing equal or similar to another; one able to mate or cope with another; an equal; a mate.
Match>>|<<v.>>|<<A bringing together of two parties suited to one another, as for a union, a trial of skill or force, a contest, or the like
Match>>|<<v.>>|<<A contest to try strength or skill, or to determine superiority; an emulous struggle.
Match>>|<<v.>>|<<A matrimonial union; a marriage.
Match>>|<<v.>>|<<An agreement, compact, etc.
Match>>|<<v.>>|<<A candidate for matrimony; one to be gained in marriage.
Match>>|<<v.>>|<<Equality of conditions in contest or competition.
Match>>|<<v.>>|<<Suitable combination or bringing together; that which corresponds or harmonizes with something else; as, the carpet and curtains are a match.
Match>>|<<v.>>|<<A perforated board, block of plaster, hardened sand, etc., in which a pattern is partly imbedded when a mold is made, for giving shape to the surfaces of separation between the parts of the mold.
May>>|<<v.>>|<<An auxiliary verb qualifyng the meaning of another verb, by expressing: (a) Ability, competency, or possibility; -- now oftener expressed by can.
Melt>>|<<v.>>|<<To reduce from a solid to a liquid state, as by heat; to liquefy; as, to melt wax, tallow, or lead; to melt ice or snow.
Melt>>|<<v.>>|<<Hence: To soften, as by a warming or kindly influence; to relax; to render gentle or susceptible to mild influences; sometimes, in a bad sense, to take away the firmness of; to weaken.
Mensurate>>|<<v.>>|<<To measure.
Metage>>|<<v.>>|<<Measurement, especially of coal.
Metage>>|<<v.>>|<<Charge for, or price of, measuring.
Might>>|<<v.>>|<<Force or power of any kind, whether of body or mind; energy or intensity of purpose, feeling, or action; means or resources to effect an object; strength; force; power; ability; capacity.
Mind>>|<<v.>>|<<The intellectual or rational faculty in man; the understanding; the intellect; the power that conceives, judges, or reasons; also, the entire spiritual nature; the soul; -- often in distinction from the body.
Mind>>|<<v.>>|<<The state, at any given time, of the faculties of thinking, willing, choosing, and the like; psychical activity or state; as: (a) Opinion; judgment; belief.
Mind>>|<<v.>>|<<Choice; inclination; liking; intent; will.
Mind>>|<<v.>>|<<Courage; spirit.
Mind>>|<<v.>>|<<Memory; remembrance; recollection; as, to have or keep in mind, to call to mind, to put in mind, etc.
Miniature>>|<<v.>>|<<Originally, a painting in colors such as those in mediaeval manuscripts; in modern times, any very small painting, especially a portrait.
Miniature>>|<<v.>>|<<Greatly diminished size or form; reduced scale.
Miniature>>|<<v.>>|<<Lettering in red; rubric distinction.
Miniature>>|<<v.>>|<<A particular feature or trait.
Misdo>>|<<v.>>|<<To do wrongly.
Misdo>>|<<v.>>|<<To do wrong to; to illtreat.
Mislike>>|<<v.>>|<<To dislike; to disapprove of; to have aversion to; as, to mislike a man.
Misprize>>|<<v.>>|<<To slight or undervalue.
Mitre>>|<<n. &amp; v.>>|<<See Miter.
Mold>>|<<v.>>|<<Alt. of Mould
Mould>>|<<v.>>|<<Crumbling, soft, friable earth; esp., earth containing the remains or constituents of organic matter, and suited to the growth of plants; soil.
Mould>>|<<v.>>|<<Earthy material; the matter of which anything is formed; composing substance; material.
Moot>>|<<v.>>|<<See 1st Mot.
Moot>>|<<v.>>|<<A discussion or debate; especially, a discussion of fictitious causes by way of practice.
Mosel>>|<<n. &amp; v.>>|<<See Muzzle.
Mot>>|<<v.>>|<<May; must; might.
Mote>>|<<v.>>|<<See 1st Mot.
Moult>>|<<v. &amp; n.>>|<<See Molt.
Moun>>|<<v.>>|<<pl. of Mow, may.
Mount>>|<<v.>>|<<A mass of earth, or earth and rock, rising considerably above the common surface of the surrounding land; a mountain; a high hill; -- used always instead of mountain, when put before a proper name; as, Mount Washington; otherwise, chiefly in poetry.
Mount>>|<<v.>>|<<A bulwark for offense or defense; a mound.
Mount>>|<<v.>>|<<A bank; a fund.
Mount>>|<<v.>>|<<That upon which a person or thing is mounted
Mount>>|<<v.>>|<<A horse.
Mount>>|<<v.>>|<<The cardboard or cloth on which a drawing, photograph, or the like is mounted; a mounting.
Mounty>>|<<v.>>|<<The rise of a hawk after prey.
Mow>>|<<v.>>|<<May; can.
Mowe>>|<<v.>>|<<See 4th Mow.
Mowe>>|<<n. &amp; v.>>|<<See 1st &amp; 2d Mow.
Moyle>>|<<n. &amp; v.>>|<<See Moil, and Moile.
Mumble>>|<<v.>>|<<To speak with the lips partly closed, so as to render the sounds inarticulate and imperfect; to utter words in a grumbling indistinct manner, indicating discontent or displeasure; to mutter.
Mumble>>|<<v.>>|<<To chew something gently with closed lips.
Murther>>|<<n. &amp; v.>>|<<Murder, n. &amp; v.
Neglect>>|<<v.>>|<<Omission of proper attention; avoidance or disregard of duty, from heedlessness, indifference, or willfulness; failure to do, use, or heed anything; culpable disregard; as, neglect of business, of health, of economy.
Neglect>>|<<v.>>|<<Omission if attention or civilities; slight; as, neglect of strangers.
Neglect>>|<<v.>>|<<Habitual carelessness; negligence.
Neglect>>|<<v.>>|<<The state of being disregarded, slighted, or neglected.
Nempne>>|<<v.>>|<<To name or call.
Numerate>>|<<v.>>|<<To divide off and read according to the rules of numeration; as, to numerate a row of figures.
Obstacle>>|<<v.>>|<<That which stands in the way, or opposes; anything that hinders progress; a hindrance; an obstruction, physical or moral.
Ouse>>|<<n. &amp; v.>>|<<See Ooze.
Outer>>|<<v.>>|<<One who puts out, ousts, or expels; also, an ouster; dispossession.
Ouze>>|<<n. &amp; v.>>|<<See Ooze.
Owe>>|<<v.>>|<<To possess; to have, as the rightful owner; to own.
Owe>>|<<v.>>|<<To have or possess, as something derived or bestowed; to be obliged to ascribe (something to some source); to be indebted or obliged for; as, he owed his wealth to his father; he owed his victory to his lieutenants.
Owe>>|<<v.>>|<<Hence: To have or be under an obigation to restore, pay, or render (something) in return or compensation for something received; to be indebted in the sum of; as, the subject owes allegiance; the fortunate owe assistance to the unfortunate.
Owe>>|<<v.>>|<<To have an obligation to (some one) on account of something done or received; to be indebted to; as, to iwe the grocer for supplies, or a laborer for services.
Pact>>|<<v.>>|<<An agreement; a league; a compact; a covenant.
Parting>>|<<v.>>|<<Serving to part; dividing; separating.
Parting>>|<<v.>>|<<Given when departing; as, a parting shot; a parting salute.
Parting>>|<<v.>>|<<Departing.
Parting>>|<<v.>>|<<Admitting of being parted; partible.
Partition>>|<<v.>>|<<The act of parting or dividing; the state of being parted; separation; division; distribution; as, the partition of a kingdom.
Partition>>|<<v.>>|<<That which divides or separates; that by which different things, or distinct parts of the same thing, are separated; separating boundary; dividing line or space; specifically, an interior wall dividing one part or apartment of a house, an inclosure, or the like, from another; as, a brick partition; lath and plaster partitions.
Partition>>|<<v.>>|<<A part divided off by walls; an apartment; a compartment.
Partition>>|<<v.>>|<<The servance of common or undivided interests, particularly in real estate. It may be effected by consent of parties, or by compulsion of law.
Partition>>|<<v.>>|<<A score.
Party>>|<<v.>>|<<A part or portion.
Party>>|<<v.>>|<<A number of persons united in opinion or action, as distinguished from, or opposed to, the rest of a community or association; esp., one of the parts into which a people is divided on questions of public policy.
Party>>|<<v.>>|<<A part of a larger body of company; a detachment; especially (Mil.), a small body of troops dispatched on special service.
Party>>|<<v.>>|<<A number of persons invited to a social entertainment; a select company; as, a dinner party; also, the entertainment itself; as, to give a party.
Party>>|<<v.>>|<<One concerned or interested in an affair; one who takes part with others; a participator; as, he was a party to the plot; a party to the contract.
Party>>|<<v.>>|<<The plaintiff or the defendant in a lawsuit, whether an individual, a firm, or corporation; a litigant.
Party>>|<<v.>>|<<Hence, any certain person who is regarded as being opposed or antagonistic to another.
Party>>|<<v.>>|<<Cause; side; interest.
Party>>|<<v.>>|<<A person; as, he is a queer party.
Party>>|<<v.>>|<<Parted or divided, as in the direction or form of one of the ordinaries; as, an escutcheon party per pale.
Party>>|<<v.>>|<<Partial; favoring one party.
Past>>|<<v.>>|<<Of or pertaining to a former time or state; neither present nor future; gone by; elapsed; ended; spent; as, past troubles; past offences.
Patrol>>|<<v.>>|<<t To go the rounds of, as a sentry, guard, or policeman; as, to patrol a frontier; to patrol a beat.
Patrole>>|<<n. &amp; v.>>|<<See Patrol, n. &amp; v.
Peace>>|<<v.>>|<<A state of quiet or tranquillity; freedom from disturbance or agitation; calm; repose
Peace>>|<<v.>>|<<Exemption from, or cessation of, war with public enemies.
Peace>>|<<v.>>|<<Public quiet, order, and contentment in obedience to law.
Peace>>|<<v.>>|<<Exemption from, or subjection of, agitating passions; tranquillity of mind or conscience.
Peace>>|<<v.>>|<<Reconciliation; agreement after variance; harmony; concord.
Peck>>|<<v.>>|<<To strike with the beak; to thrust the beak into; as, a bird pecks a tree.
Peck>>|<<v.>>|<<Hence: To strike, pick, thrust against, or dig into, with a pointed instrument; especially, to strike, pick, etc., with repeated quick movements.
Peck>>|<<v.>>|<<To seize and pick up with the beak, or as with the beak; to bite; to eat; -- often with up.
Peck>>|<<v.>>|<<To make, by striking with the beak or a pointed instrument; as, to peck a hole in a tree.
Peece>>|<<n. &amp; v.>>|<<See Piece.
Pen>>|<<n. &amp; v.>>|<<To shut up, as in a pen or cage; to confine in a small inclosure or narrow space; to coop up, or shut in; to inclose.
Perforate>>|<<v.>>|<<To bore through; to pierce through with a pointed instrument; to make a hole or holes through by boring or piercing; to pierce or penetrate the surface of.
Perfume>>|<<v.>>|<<The scent, odor, or odoriferous particles emitted from a sweet-smelling substance; a pleasant odor; fragrance; aroma.
Perfume>>|<<v.>>|<<A substance that emits an agreeable odor.
Perjury>>|<<v.>>|<<False swearing.
Perjury>>|<<v.>>|<<At common law, a willfully false statement in a fact material to the issue, made by a witness under oath in a competent judicial proceeding. By statute the penalties of perjury are imposed on the making of willfully false affirmations.
Pernor>>|<<v.>>|<<One who receives the profits, as of an estate.
Pick>>|<<v.>>|<<To throw; to pitch.
Pick>>|<<v.>>|<<To peck at, as a bird with its beak; to strike at with anything pointed; to act upon with a pointed instrument; to pierce; to prick, as with a pin.
Pick>>|<<v.>>|<<To separate or open by means of a sharp point or points; as, to pick matted wool, cotton, oakum, etc.
Pick>>|<<v.>>|<<To open (a lock) as by a wire.
Pick>>|<<v.>>|<<To pull apart or away, especially with the fingers; to pluck; to gather, as fruit from a tree, flowers from the stalk, feathers from a fowl, etc.
Pick>>|<<v.>>|<<To remove something from with a pointed instrument, with the fingers, or with the teeth; as, to pick the teeth; to pick a bone; to pick a goose; to pick a pocket.
Pick>>|<<v.>>|<<To choose; to select; to separate as choice or desirable; to cull; as, to pick one's company; to pick one's way; -- often with out.
Pick>>|<<v.>>|<<To take up; esp., to gather from here and there; to collect; to bring together; as, to pick rags; -- often with up; as, to pick up a ball or stones; to pick up information.
Pick>>|<<v.>>|<<To trim.
Picnic>>|<<v.>>|<<Formerly, an entertainment at which each person contributed some dish to a common table; now, an excursion or pleasure party in which the members partake of a collation or repast (usually in the open air, and from food carried by themselves).
Pike>>|<<n. &amp; v.>>|<<A foot soldier's weapon, consisting of a long wooden shaft or staff, with a pointed steel head. It is now superseded by the bayonet.
Pike>>|<<n. &amp; v.>>|<<A pointed head or spike; esp., one in the center of a shield or target.
Pike>>|<<n. &amp; v.>>|<<A hayfork.
Pike>>|<<n. &amp; v.>>|<<A pick.
Pike>>|<<n. &amp; v.>>|<<A pointed or peaked hill.
Pike>>|<<n. &amp; v.>>|<<A large haycock.
Pike>>|<<n. &amp; v.>>|<<A turnpike; a toll bar.
Pine>>|<<v.>>|<<To inflict pain upon; to torment; to torture; to afflict.
Pine>>|<<v.>>|<<To grieve or mourn for.
Piping>>|<<v.>>|<<Playing on a musical pipe.
Piping>>|<<v.>>|<<Peaceful; favorable to, or characterized by, the music of the pipe rather than of the drum and fife.
Piping>>|<<v.>>|<<Emitting a high, shrill sound.
Piping>>|<<v.>>|<<Simmering; boiling; sizzling; hissing; -- from the sound of boiling fluids.
Pix>>|<<n. &amp; v.>>|<<See Pyx.
Plain>>|<<v.>>|<<To plane or level; to make plain or even on the surface.
Plain>>|<<v.>>|<<To make plain or manifest; to explain.
Planish>>|<<v.>>|<<To make smooth or plane, as a metallic surface; to condense, toughen, and polish by light blows with a hammer.
Plash>>|<<v.>>|<<A small pool of standing water; a puddle.
Plash>>|<<v.>>|<<A dash of water; a splash.
Pley>>|<<v. &amp; n.>>|<<See Play.
Pliable>>|<<v.>>|<<Capable of being plied, turned, or bent; easy to be bent; flexible; pliant; supple; limber; yielding; as, willow is a pliable plant.
Pliable>>|<<v.>>|<<Flexible in disposition; readily yielding to influence, arguments, persuasion, or discipline; easy to be persuaded; -- sometimes in a bad sense; as, a pliable youth.
Pliant>>|<<v.>>|<<Capable of plying or bending; readily yielding to force or pressure without breaking; flexible; pliable; lithe; limber; plastic; as, a pliant thread; pliant wax.  Also used figuratively: Easily influenced for good or evil; tractable; as, a pliant heart.
Pliant>>|<<v.>>|<<Favorable to pliancy.
Plica>>|<<v.>>|<<A disease of the hair (Plica polonica), in which it becomes twisted and matted together. The disease is of Polish origin, and is hence called also Polish plait.
Plica>>|<<v.>>|<<A diseased state in plants in which there is an excessive development of small entangled twigs, instead of ordinary branches.
Plica>>|<<v.>>|<<The bend of the wing of a bird.
Plough>>|<<n. &amp; v.>>|<<See Plow.
Plume>>|<<v.>>|<<A feather; esp., a soft, downy feather, or a long, conspicuous, or handsome feather.
Plume>>|<<v.>>|<<An ornamental tuft of feathers.
Plume>>|<<v.>>|<<A feather, or group of feathers, worn as an ornament; a waving ornament of hair, or other material resembling feathers.
Plume>>|<<v.>>|<<A token of honor or prowess; that on which one prides himself; a prize or reward.
Plume>>|<<v.>>|<<A large and flexible panicle of inflorescence resembling a feather, such as is seen in certain large ornamental grasses.
Plump>>|<<a. &amp; v.>>|<<Directly; suddenly; perpendicularly.
Ply>>|<<v.>>|<<A fold; a plait; a turn or twist, as of a cord.
Ply>>|<<v.>>|<<Bent; turn; direction; bias.
Plyght>>|<<v. &amp; n.>>|<<See Plight.
Poach>>|<<v. &amp; n.>>|<<To cook, as eggs, by breaking them into boiling water; also, to cook with butter after breaking in a vessel.
Poach>>|<<v. &amp; n.>>|<<To rob of game; to pocket and convey away by stealth, as game; hence, to plunder.
Poise>>|<<v.>>|<<Weight; gravity; that which causes a body to descend; heaviness.
Poise>>|<<v.>>|<<The weight, or mass of metal, used in weighing, to balance the substance weighed.
Poise>>|<<v.>>|<<The state of being balanced by equal weight or power; equipoise; balance; equilibrium; rest.
Poise>>|<<v.>>|<<That which causes a balance; a counterweight.
Polite>>|<<v.>>|<<Smooth; polished.
Polite>>|<<v.>>|<<Smooth and refined in behavior or manners; well bred; courteous; complaisant; obliging; civil.
Polite>>|<<v.>>|<<Characterized by refinement, or a high degree of finish; as, polite literature.
Politure>>|<<v.>>|<<Polish; gloss. [Obs.] Donne.
Pore>>|<<v.>>|<<One of the minute orifices in an animal or vegetable membrane, for transpiration, absorption, etc.
Pore>>|<<v.>>|<<A minute opening or passageway; an interstice between the constituent particles or molecules of a body; as, the pores of stones.
Port>>|<<v.>>|<<A place where ships may ride secure from storms; a sheltered inlet, bay, or cove; a harbor; a haven. Used also figuratively.
Port>>|<<v.>>|<<In law and commercial usage, a harbor where vessels are admitted to discharge and receive cargoes, from whence they depart and where they finish their voyages.
Poulder>>|<<n. &amp; v.>>|<<Powder.
Praise>>|<<v.>>|<<To commend; to applaud; to express approbation of; to laud; -- applied to a person or his acts.
Praise>>|<<v.>>|<<To extol in words or song; to magnify; to glorify on account of perfections or excellent works; to do honor to; to display the excellence of; -- applied especially to the Divine Being.
Praise>>|<<v.>>|<<To value; to appraise.
Praise>>|<<v.>>|<<Commendation for worth; approval expressed; honor rendered because of excellence or worth; laudation; approbation.
Praise>>|<<v.>>|<<Especially, the joyful tribute of gratitude or homage rendered to the Divine Being; the act of glorifying or extolling the Creator; worship, particularly worship by song, distinction from prayer and other acts of worship; as, a service of praise.
Praise>>|<<v.>>|<<The object, ground, or reason of praise.
Pray>>|<<n. &amp; v.>>|<<See Pry.
Preace>>|<<v. &amp; n.>>|<<Press.
Preach>>|<<v.>>|<<A religious discourse.
Preclude>>|<<v.>>|<<To put a barrier before; hence, to shut out; to hinder; to stop; to impede.
Preclude>>|<<v.>>|<<To shut out by anticipative action; to prevent or hinder by necessary consequence or implication; to deter action of, access to, employment of, etc.; to render ineffectual; to obviate by anticipation.
Press>>|<<v.>>|<<To urge, or act upon, with force, as weight; to act upon by pushing or thrusting, in distinction from pulling; to crowd or compel by a gradual and continued exertion; to bear upon; to squeeze; to compress; as, we press the ground with the feet when we walk; we press the couch on which we repose; we press substances with the hands, fingers, or arms; we are pressed in a crowd.
Press>>|<<v.>>|<<To squeeze, in order to extract the juice or contents of; to squeeze out, or express, from something.
Press>>|<<v.>>|<<To squeeze in or with suitable instruments or apparatus, in order to compact, make dense, or smooth; as, to press cotton bales, paper, etc.; to smooth by ironing; as, to press clothes.
Press>>|<<v.>>|<<To embrace closely; to hug.
Press>>|<<v.>>|<<To oppress; to bear hard upon.
Press>>|<<v.>>|<<To straiten; to distress; as, to be pressed with want or hunger.
Press>>|<<v.>>|<<To exercise very powerful or irresistible influence upon or over; to constrain; to force; to compel.
Press>>|<<v.>>|<<To try to force (something upon some one); to urge or inculcate with earnestness or importunity; to enforce; as, to press divine truth on an audience.
Press>>|<<v.>>|<<To drive with violence; to hurry; to urge on; to ply hard; as, to press a horse in a race.
Prestige>>|<<v.>>|<<Delusion; illusion; trick.
Prestige>>|<<v.>>|<<Weight or influence derived from past success; expectation of future achievements founded on those already accomplished; force or charm derived from acknowledged character or reputation.
Price>>|<<n. &amp; v.>>|<<The sum or amount of money at which a thing is valued, or the value which a seller sets on his goods in market; that for which something is bought or sold, or offered for sale; equivalent in money or other means of exchange; current value or rate paid or demanded in market or in barter; cost.
Price>>|<<n. &amp; v.>>|<<Value; estimation; excellence; worth.
Price>>|<<n. &amp; v.>>|<<Reward; recompense; as, the price of industry.
Prick>>|<<v.>>|<<That which pricks, penetrates, or punctures; a sharp and slender thing; a pointed instrument; a goad; a spur, etc.; a point; a skewer.
Prick>>|<<v.>>|<<The act of pricking, or the sensation of being pricked; a sharp, stinging pain; figuratively, remorse.
Prick>>|<<v.>>|<<A mark made by a pointed instrument; a puncture; a point.
Prick>>|<<v.>>|<<A point or mark on the dial, noting the hour.
Prick>>|<<v.>>|<<The point on a target at which an archer aims; the mark; the pin.
Prick>>|<<v.>>|<<A mark denoting degree; degree; pitch.
Prick>>|<<v.>>|<<A mathematical point; -- regularly used in old English translations of Euclid.
Prick>>|<<v.>>|<<The footprint of a hare.
Prick>>|<<v.>>|<<A small roll; as, a prick of spun yarn; a prick of tobacco.
Prise>>|<<n. &amp; v.>>|<<See Prize, n., 5. Also Prize, v. t.
Profession>>|<<v.>>|<<The act of professing or claiming; open declaration; public avowal or acknowledgment; as, professions of friendship; a profession of faith.
Profession>>|<<v.>>|<<That which one professed; a declaration; an avowal; a claim; as, his professions are insincere.
Profession>>|<<v.>>|<<That of which one professed knowledge; the occupation, if not mechanical, agricultural, or the like, to which one devotes one's self; the business which one professes to understand, and to follow for subsistence; calling; vocation; employment; as, the profession of arms; the profession of a clergyman, lawyer, or physician; the profession of lecturer on chemistry.
Profession>>|<<v.>>|<<The collective body of persons engaged in a calling; as, the profession distrust him.
Profession>>|<<v.>>|<<The act of entering, or becoming a member of, a religious order.
Prolog>>|<<n. &amp; v.>>|<<Prologue.
Prop>>|<<v.>>|<<That which sustains an incumbent weight; that on which anything rests or leans for support; a support; a stay; as, a prop for a building.
Proportion>>|<<v.>>|<<To adjust in a suitable proportion, as one thing or one part to another; as, to proportion the size of a building to its height; to proportion our expenditures to our income.
Proportion>>|<<v.>>|<<To form with symmetry or suitableness, as the parts of the body.
Proportion>>|<<v.>>|<<To divide into equal or just shares; to apportion.
Proportionate>>|<<v.>>|<<To make proportional; to adjust according to a settled rate, or to due comparative relation; to proportion; as, to proportionate punishment to crimes.
Propose>>|<<v.>>|<<To set forth.
Propose>>|<<v.>>|<<To offer for consideration, discussion, acceptance, or adoption; as, to propose terms of peace; to propose a question for discussion; to propose an alliance; to propose a person for office.
Propose>>|<<v.>>|<<To set before one's self or others as a purpose formed; hence, to purpose; to intend.
Prospect>>|<<v.>>|<<That which is embraced by eye in vision; the region which the eye overlooks at one time; view; scene; outlook.
Prospect>>|<<v.>>|<<Especially, a picturesque or widely extended view; a landscape; hence, a sketch of a landscape.
Prospect>>|<<v.>>|<<A position affording a fine view; a lookout.
Prospect>>|<<v.>>|<<Relative position of the front of a building or other structure; face; relative aspect.
Prospect>>|<<v.>>|<<The act of looking forward; foresight; anticipation; as, a prospect of the future state.
Prospect>>|<<v.>>|<<That which is hoped for; ground for hope or expectation; expectation; probable result; as, the prospect of success.
Protest>>|<<v.>>|<<A solemn declaration of opinion, commonly a formal objection against some act; especially, a formal and solemn declaration, in writing, of dissent from the proceedings of a legislative body; as, the protest of lords in Parliament.
Protest>>|<<v.>>|<<A solemn declaration in writing, in due form, made by a notary public, usually under his notarial seal, on behalf of the holder of a bill or note, protesting against all parties liable for any loss or damage by the nonacceptance or nonpayment of the bill, or by the nonpayment of the note, as the case may be.
Protest>>|<<v.>>|<<A declaration made by the master of a vessel before a notary, consul, or other authorized officer, upon his arrival in port after a disaster, stating the particulars of it, and showing that any damage or loss sustained was not owing to the fault of the vessel, her officers or crew, but to the perils of the sea, etc., ads the case may be, and protesting against them.
Protest>>|<<v.>>|<<A declaration made by a party, before or while paying a tax, duty, or the like, demanded of him, which he deems illegal, denying the justice of the demand, and asserting his rights and claims, in order to show that the payment was not voluntary.
Protestant>>|<<v.>>|<<One who protests; -- originally applied to those who adhered to Luther, and protested against, or made a solemn declaration of dissent from, a decree of the Emperor Charles V. and the Diet of Spires, in 1529, against the Reformers, and appealed to a general council; -- now used in a popular sense to designate any Christian who does not belong to the Roman Catholic or the Greek Church.
Pulsate>>|<<v.>>|<<To throb, as a pulse; to beat, as the heart.
Purl>>|<<v. &amp; n.>>|<<To rise in circles, ripples, or undulations; to curl; to mantle.
Purulently>>|<<v.>>|<<In a purulent manner.
Puzzle>>|<<v.>>|<<Something which perplexes or embarrasses; especially, a toy or a problem contrived for testing ingenuity; also, something exhibiting marvelous skill in making.
Puzzle>>|<<v.>>|<<The state of being puzzled; perplexity; as, to be in a puzzle.
Pyne>>|<<n. &amp; v.>>|<<See Pine.
Querulous>>|<<v.>>|<<Given to quarreling; quarrelsome.
Querulous>>|<<v.>>|<<Apt to find fault; habitually complaining; disposed to murmur; as, a querulous man or people.
Querulous>>|<<v.>>|<<Expressing complaint; fretful; whining; as, a querulous tone of voice.
Quirl>>|<<n. &amp; v.>>|<<See Querl.
Quit>>|<<v.>>|<<Released from obligation, charge, penalty, etc.; free; clear; absolved; acquitted.
Quod>>|<<v.>>|<<Quoth; said. See Quoth.
Rabate>>|<<v.>>|<<To recover to the fist, as a hawk.
Rack>>|<<v.>>|<<To amble fast, causing a rocking or swaying motion of the body; to pace; -- said of a horse.
Raffle>>|<<v.>>|<<A kind of lottery, in which several persons pay, in shares, the value of something put up as a stake, and then determine by chance (as by casting dice) which one of them shall become the sole possessor.
Raffle>>|<<v.>>|<<A game of dice in which he who threw three alike won all the stakes.
Rail>>|<<v.>>|<<Any one of numerous species of limicoline birds of the family Rallidae, especially those of the genus Rallus, and of closely allied genera. They are prized as game birds.
Rain>>|<<n. &amp; v.>>|<<Reign.
Rampage>>|<<v.>>|<<Violent or riotous behavior; a state of excitement, passion, or debauchery; as, to be on the rampage.
Rampant>>|<<v.>>|<<Ramping; leaping; springing; rearing upon the hind legs; hence, raging; furious.
Rampant>>|<<v.>>|<<Ascending; climbing; rank in growth; exuberant.
Rampant>>|<<v.>>|<<Rising with fore paws in the air as if attacking; -- said of a beast of prey, especially a lion. The right fore leg and right hind leg should be raised higher than the left.
Range>>|<<v.>>|<<A series of things in a line; a row; a rank; as, a range of buildings; a range of mountains.
Range>>|<<v.>>|<<An aggregate of individuals in one rank or degree; an order; a class.
Range>>|<<v.>>|<<The step of a ladder; a rung.
Range>>|<<v.>>|<<A kitchen grate.
Range>>|<<v.>>|<<An extended cooking apparatus of cast iron, set in brickwork, and affording conveniences for various ways of cooking; also, a kind of cooking stove.
Range>>|<<v.>>|<<A bolting sieve to sift meal.
Range>>|<<v.>>|<<A wandering or roving; a going to and fro; an excursion; a ramble; an expedition.
Range>>|<<v.>>|<<That which may be ranged over; place or room for excursion; especially, a region of country in which cattle or sheep may wander and pasture.
Range>>|<<v.>>|<<Extent or space taken in by anything excursive; compass or extent of excursion; reach; scope; discursive power; as, the range of one's voice, or authority.
