Abandoned>>|<<imp. &amp; p. p.>>|<<of Abandon
Consubstantiated>>|<<imp. &amp; p. p.>>|<<of Consubstantiate
Consulted>>|<<imp. &amp; p. p.>>|<<of Consult
Consumed>>|<<imp. &amp; p. p.>>|<<of Consume
Consummated>>|<<imp. &amp; p. p.>>|<<of Consummate
Contained>>|<<imp. &amp; p. p.>>|<<of Contain
Contaminated>>|<<imp. &amp; p. p.>>|<<of Contaminate
Contemned>>|<<imp. &amp; p. p.>>|<<of Contemn
Contemplated>>|<<imp. &amp; p. p.>>|<<of Contemplate
Contended>>|<<imp. &amp; p. p.>>|<<of Contend
Contested>>|<<imp. &amp; p. p.>>|<<of Contest
Continued>>|<<imp. &amp; p. p.>>|<<of Continue
Contracted>>|<<imp. &amp; p. p.>>|<<of Contract
Contradicted>>|<<imp. &amp; p. p.>>|<<of Contradict
Contradistinguished>>|<<imp. &amp; p. p.>>|<<of Contradistinguish
Contraindicated>>|<<imp. &amp; p. p.>>|<<of Contraindicate
Contrasted>>|<<imp. &amp; p. p.>>|<<of Contrast
Contravened>>|<<imp. &amp; p. p.>>|<<of Contravene
Contributed>>|<<imp. &amp; p. p.>>|<<of Contribute
Contrived>>|<<imp. &amp; p. p.>>|<<of Contrive
Controlled>>|<<imp. &amp; p. p.>>|<<of Control
Controverted>>|<<imp. &amp; p. p.>>|<<of Controvert
Contused>>|<<imp. &amp; p. p.>>|<<of Contuse
Convalesced>>|<<imp. &amp; p. p.>>|<<of Convalesce
Convened>>|<<imp. &amp; p. p.>>|<<of Convene
Conventionalized>>|<<imp. &amp; p. p.>>|<<of Conventionalizw
Converged>>|<<imp. &amp; p. p.>>|<<of Converge
Conversed>>|<<imp. &amp; p. p.>>|<<of Converse
Converted>>|<<imp. &amp; p. p.>>|<<of Convert
Conveyed>>|<<imp. &amp; p. p.>>|<<of Convey
Convicted>>|<<imp. &amp; p. p.>>|<<of Convict
Convinced>>|<<imp. &amp; p. p.>>|<<of Convince
Convocated>>|<<imp. &amp; p. p.>>|<<of Convocate
Convoked>>|<<imp. &amp; p. p.>>|<<of Convoke
Convolved>>|<<imp. &amp; p. p.>>|<<of Convolve
Convoyed>>|<<imp. &amp; p. p.>>|<<of Convoy
Convulsed>>|<<imp. &amp; p. p.>>|<<of Convulse
Cooed>>|<<imp. &amp; p. p.>>|<<of Coo
Cooked>>|<<imp. &amp; p. p.>>|<<of Cook
Cooled>>|<<imp. &amp; p. p.>>|<<of Cool
Cooped>>|<<imp. &amp; p. p.>>|<<of Coop
Coopered>>|<<imp. &amp; p. p.>>|<<of Cooper
Cooperated>>|<<imp. &amp; p. p.>>|<<of Cooperate
Coordinated>>|<<imp. &amp; p. p.>>|<<of Coordinate
Coped>>|<<imp. &amp; p. p.>>|<<of Cope
Coppered>>|<<imp. &amp; p. p.>>|<<of Copper
Copulated>>|<<imp. &amp; p. p.>>|<<of Copulate
Copied>>|<<imp. &amp; p. p.>>|<<of Copy
Coquetted>>|<<imp. &amp; p. p.>>|<<of Coquet
Corded>>|<<imp. &amp; p. p.>>|<<of Cord
Cord>>|<<imp. &amp; p. p.>>|<<of Core
Corked>>|<<imp. &amp; p. p.>>|<<of Cork
Corned>>|<<imp. &amp; p. p.>>|<<of Corn
Cornered>>|<<imp. &amp; p. p.>>|<<of Corner
Corraled>>|<<imp. &amp; p. p.>>|<<of Corral
Corrected>>|<<imp. &amp; p. p.>>|<<of Correct
Correlated>>|<<imp. &amp; p. p.>>|<<of Correlate
Corresponded>>|<<imp. &amp; p. p.>>|<<of Correspond
Corroborated>>|<<imp. &amp; p. p.>>|<<of Corroborate
Corroded>>|<<imp. &amp; p. p.>>|<<of Corrode
Corrugated>>|<<imp. &amp; p. p.>>|<<of Corrugate
Corrupted>>|<<imp. &amp; p. p.>>|<<of Corrupt
Corseted>>|<<imp. &amp; p. p.>>|<<of Corset
Cost>>|<<imp. &amp; p. p.>>|<<of Cost
Couched>>|<<imp. &amp; p. p.>>|<<of Couch
Coughed>>|<<imp. &amp; p. p.>>|<<of Cough
Could>>|<<imp.>>|<<Was, should be, or would be, able, capable, or susceptible. Used as an auxiliary, in the past tense or in the conditional present.
Counseled>>|<<imp. &amp; p. p.>>|<<of Counsel
Counted>>|<<imp. &amp; p. p.>>|<<of Count
Countenanced>>|<<imp. &amp; p. p.>>|<<of Countenance
Counteracted>>|<<imp. &amp; p. p.>>|<<of Counteract
Counterbalanced>>|<<imp. &amp; p. p.>>|<<of Counterbalance
Counterchanged>>|<<imp. &amp; p. p.>>|<<of Counterchange
Countercharmed>>|<<imp. &amp; p. p.>>|<<of Countercharm
Counterchecked>>|<<imp. &amp; p. p.>>|<<of Countercheck
Counterdrew>>|<<imp.>>|<<of Counterdraw
Counterfeited>>|<<imp. &amp; p. p.>>|<<of Counterfeit
Countermanded>>|<<imp. &amp; p. p.>>|<<of Countermand
Countermarched>>|<<imp. &amp; p. p.>>|<<of Countermarch
Countermined>>|<<imp. &amp; p. p.>>|<<of Countermine
Countermured>>|<<imp. &amp; p. p.>>|<<of Countermure
Counterplotted>>|<<imp. &amp; p. p.>>|<<of Counterplot
Counterpoised>>|<<imp. &amp; p. p.>>|<<of Counterpoise
Counterproved>>|<<imp. &amp; p. p.>>|<<of Counterprove
Countersealed>>|<<imp. &amp; p. p.>>|<<of Counterseal
Countersigned>>|<<imp. &amp; p. p.>>|<<of Countersign
Countersunk>>|<<imp. &amp; p. p.>>|<<of Countersink
Countervailed>>|<<imp. &amp; p. p.>>|<<of Countervail
Coupled>>|<<imp. &amp; p. p.>>|<<of Couple
Coursed>>|<<imp. &amp; p. p.>>|<<of Course
Courted>>|<<imp. &amp; p. p.>>|<<of Court
Courtesied>>|<<imp. &amp; p. p.>>|<<of Courtesy
Court-martialed>>|<<imp. &amp; p. p.>>|<<of Court-martial
Couth>>|<<imp. &amp; p. p.>>|<<Could; was able; knew or known; understood.
Coved>>|<<imp. &amp; p. p.>>|<<of Cove
Covenanted>>|<<imp. &amp; p. p.>>|<<of Covenant
Covered>>|<<imp. &amp; p. p.>>|<<of Cover
Covered>>|<<imp. &amp; p. p.>>|<<of Covet
Cowed>>|<<imp. &amp; p. p.>>|<<of Cow
Cowered>>|<<imp. &amp; p. p.>>|<<of Cower
Cowhided>>|<<imp. &amp; p. p.>>|<<of Cowhide
Coyed>>|<<imp. &amp; p. p.>>|<<of Coy
Cozened>>|<<imp. &amp; p. p.>>|<<of Cozen
Cracked>>|<<imp. &amp; p. p.>>|<<of Crack
Cradled>>|<<imp. &amp; p. p.>>|<<of Cradle
Crammed>>|<<imp. &amp; p. p.>>|<<of Cram
Cramped>>|<<imp. &amp; p. p.>>|<<of Cramp
Craned>>|<<imp. &amp; p. p.>>|<<of Crane
Crannied>>|<<imp. &amp; p. p.>>|<<of Cranny
Craped>>|<<imp. &amp; p. p.>>|<<of Crape
Crashed>>|<<imp. &amp; p. p.>>|<<of Crash
Crated>>|<<imp. &amp; p. p.>>|<<of Crate
Craunched>>|<<imp. &amp; p. p.>>|<<of Craunch
Craved>>|<<imp. &amp; p. p.>>|<<of Crave
Cravened>>|<<imp. &amp; p. p.>>|<<of Craven
Crawled>>|<<imp. &amp; p. p.>>|<<of Crawl
Crayoned>>|<<imp. &amp; p. p.>>|<<of Crayon
Crazed>>|<<imp. &amp; p. p.>>|<<of Craze
Creaked>>|<<imp. &amp; p. p.>>|<<of Creak
Creamed>>|<<imp. &amp; p. p.>>|<<of Cream
Creased>>|<<imp. &amp; p. p.>>|<<of Crease
Created>>|<<imp. &amp; p. p.>>|<<of Create
Credited>>|<<imp. &amp; p. p.>>|<<of Credit
Crept>>|<<imp.>>|<<of Creep
Crenelated>>|<<imp. &amp; p. p.>>|<<of Crenelate
Creosoted>>|<<imp. &amp; p. p.>>|<<of Creosote
Crepitated>>|<<imp. &amp; p. p.>>|<<of Crepitate
Crested>>|<<imp. &amp; p. p.>>|<<of Crest
Cribbed>>|<<imp. &amp; p. p.>>|<<of Crib
Cribbled>>|<<imp. &amp; p. p.>>|<<of Cribble
Criminated>>|<<imp. &amp; p. p.>>|<<of Criminate
Crimped>>|<<imp. &amp; p. p.>>|<<of Crimp
Crimpled>>|<<imp. &amp; p. p.>>|<<of Crimple
Crimsoned>>|<<imp. &amp; p. p.>>|<<of Crimson
Crnged>>|<<imp. &amp; p. p.>>|<<of Cringe
Crinkled>>|<<imp. &amp; p. p.>>|<<of Crinkle
Crippled>>|<<imp. &amp; p. p.>>|<<of Cripple
Crisped>>|<<imp. &amp; p. p.>>|<<of Crisp
Criticised>>|<<imp. &amp; p. p.>>|<<of Criticise
Croaked>>|<<imp. &amp; p. p.>>|<<of Croak
Crocheted>>|<<imp. &amp; p. p.>>|<<of Crochet
Crocked>>|<<imp. &amp; p. p.>>|<<of Crock
Crooked>>|<<imp. &amp; p. p.>>|<<of Crook
Crooned>>|<<imp. &amp; p. p.>>|<<of Croon
Cropped>>|<<imp. &amp; p. p.>>|<<of Crop
Croqueted>>|<<imp. &amp; p. p.>>|<<of Croquet
Crossed>>|<<imp. &amp; p. p.>>|<<of Cross
Cross-examined>>|<<imp. &amp; p. p.>>|<<of Cross-examine
Cross-questioned>>|<<imp. &amp; p. p.>>|<<of Cross-question
Crouched>>|<<imp. &amp; p. p.>>|<<of Crouch
Crew>>|<<imp.>>|<<of Crow
Crowded>>|<<imp. &amp; p. p.>>|<<of Crowd
Crowned>>|<<imp. &amp; p. p.>>|<<of Crown
Crucified>>|<<imp. &amp; p. p.>>|<<of Crucify
Cruised>>|<<imp. &amp; p. p.>>|<<of Cruise
Crumbed>>|<<imp. &amp; p. p.>>|<<of Crumb
Crumbled>>|<<imp. &amp; p. p.>>|<<of Crumble
Crumpled>>|<<imp. &amp; p. p.>>|<<of Crumple
Crunched>>|<<imp. &amp; p. p.>>|<<of Crunch
Crusaded>>|<<imp. &amp; p. p.>>|<<of Crusade
Crushed>>|<<imp. &amp; p. p.>>|<<of Crush
Crusted>>|<<imp. &amp; p. p.>>|<<of Crust
Cried>>|<<imp. &amp; p. p.>>|<<of Cry
Crystallized>>|<<imp. &amp; p. p.>>|<<of Crystallize
Cubbed>>|<<imp. &amp; p. p.>>|<<of Cub
Cubed>>|<<imp. &amp; p. p.>>|<<of Cube
Cuckolded>>|<<imp. &amp; p. p.>>|<<of Cuckold
Cuddled>>|<<imp. &amp; p. p.>>|<<of Cuddle
Cudgeled>>|<<imp. &amp; p. p.>>|<<of Cudgel
Cuffed>>|<<imp. &amp; p. p.>>|<<of Cuff
Culled>>|<<imp. &amp; p. p.>>|<<of Cull
Culminated>>|<<imp. &amp; p. p.>>|<<of Culminate
Cultivated>>|<<imp. &amp; p. p.>>|<<of Cultivate
Cultured>>|<<imp. &amp; p. p.>>|<<of Culture
Cumbered>>|<<imp. &amp; p. p.>>|<<of Cumber
Cumulated>>|<<imp. &amp; p. p.>>|<<of Cumulate
Cupped>>|<<imp. &amp; p. p.>>|<<of Cup
Cupelled>>|<<imp. &amp; p. p.>>|<<of Cupel
Curbed>>|<<imp. &amp; p. p.>>|<<of Curb
Curded>>|<<imp. &amp; p. p.>>|<<of Curd
Curdled>>|<<imp. &amp; p. p.>>|<<of Curdle
Cured>>|<<imp. &amp; p. p.>>|<<of Cure
Curled>>|<<imp. &amp;  p. p.>>|<<of Curl
Curried>>|<<imp. &amp; p. p.>>|<<of Curry
Cursed>>|<<imp. &amp; p. p.>>|<<of Curse
Curtailed>>|<<imp. &amp; p. p.>>|<<of Curtail
Curtained>>|<<imp. &amp; p. p.>>|<<of Curtain
Curved>>|<<imp. &amp; p. p.>>|<<of Curve
Curveted>>|<<imp. &amp; p. p.>>|<<of Curvet
Cushioned>>|<<imp. &amp; p. p.>>|<<of Cushion
Cusped>>|<<imp. &amp; p. p.>>|<<of Cusp
Cut>>|<<imp. &amp; p. p.>>|<<of Cut
Cycled>>|<<imp. &amp; p. p.>>|<<of Cycle
Dabbed>>|<<imp. &amp; p. p.>>|<<of Dab
Dabbled>>|<<imp. &amp; p. p.>>|<<of Dabble
Daddled>>|<<imp. &amp; p. p.>>|<<of Dadle
Daggled>>|<<imp. &amp; p. p.>>|<<of Daggle
Daguerreotyped>>|<<imp. &amp; p. p.>>|<<of Daguerreotype
Daintified>>|<<imp. &amp; p. p.>>|<<of Daintify
Dallied>>|<<imp. &amp; p. p.>>|<<of Dally
Dammed>>|<<imp. &amp; p. p.>>|<<of Dam
Damages>>|<<imp. &amp; p. p.>>|<<of Damage
Damasked>>|<<imp. &amp; p. p.>>|<<of Damask
Damned>>|<<imp. &amp; p. p.>>|<<of Damn
Damped>>|<<imp. &amp; p. p.>>|<<of Damp
Dampened>>|<<imp. &amp; p. p.>>|<<of Dampen
Danced>>|<<imp. &amp; p. p.>>|<<of Dance
Dandified>>|<<imp. &amp; p. p.>>|<<of Dandify
Dandled>>|<<imp. &amp; p. p.>>|<<of Dandle
Dangled>>|<<imp. &amp; p. p.>>|<<of Dangle
Dappled>>|<<imp. &amp; p. p.>>|<<of Dapple
Durst>>|<<imp.>>|<<of Dare
Dared>>|<<imp. &amp; p. p.>>|<<of Dare
Darkened>>|<<imp. &amp; p. p.>>|<<of Darken
Darned>>|<<imp. &amp; p. p.>>|<<of Darn
Darted>>|<<imp. &amp; p. p.>>|<<of Dart
Dashed>>|<<imp. &amp; p. p.>>|<<of Dash
Dastardized>>|<<imp. &amp; p. p.>>|<<of Dastardize
Dated>>|<<imp. &amp; p. p.>>|<<of Date
Daubed>>|<<imp. &amp; p. p.>>|<<of Daub
Daunted>>|<<imp. &amp; p. p.>>|<<of Daunt
Dawdled>>|<<imp. &amp; p. p.>>|<<of Dawdle
Dawned>>|<<imp. &amp; p. p.>>|<<of Dawn
Dazed>>|<<imp. &amp; p. p.>>|<<of Daze
Dazzled>>|<<imp. &amp; p. p.>>|<<of Dazzle
Deadened>>|<<imp. &amp; p. p.>>|<<of Deaden
Deafened>>|<<imp. &amp; p. p.>>|<<of Deafen
Dealt>>|<<imp. &amp; p. p.>>|<<of Deal
Debarred>>|<<imp. &amp; p. p.>>|<<of Debar
Debarked>>|<<imp. &amp; p. p.>>|<<of Debark
Debased>>|<<imp. &amp; p. p.>>|<<of Debase
Debated>>|<<imp. &amp; p. p.>>|<<of Debate
Debauched>>|<<imp. &amp; p. p.>>|<<of Debauch
Debilitated>>|<<imp. &amp; p. p.>>|<<of Debilitate
Debited>>|<<imp. &amp; p. p.>>|<<of Debit
Debouched>>|<<imp. &amp; p. p.>>|<<of Debouch
Decalcified>>|<<imp. &amp; p. p.>>|<<of Decalcify
Decamped>>|<<imp. &amp; p. p.>>|<<of Decamp
Decanted>>|<<imp. &amp; p. p.>>|<<of Decant
Decapitated>>|<<imp. &amp; p. p.>>|<<of Decapitate
Decarbonized>>|<<imp. &amp; p. p.>>|<<of Decarbonize
Decayed>>|<<imp. &amp; p. p.>>|<<of Decay
Deceased>>|<<imp. &amp; p. p.>>|<<of Decease
Deceived>>|<<imp. &amp; p. p.>>|<<of Deceive
Dechristianized>>|<<imp. &amp; p. p.>>|<<of Dechristianize
Decided>>|<<imp. &amp; p. p.>>|<<of Decide
Decimated>>|<<imp. &amp; p. p.>>|<<of Decimate
Deciphered>>|<<imp. &amp; p. p.>>|<<of Decipher
Decked>>|<<imp. &amp; p. p.>>|<<of Deck
Declaimed>>|<<imp. &amp; p. p.>>|<<of Declaim
Declared>>|<<imp. &amp; p. p.>>|<<of Declare
Declined>>|<<imp. &amp; p. p.>>|<<of Decline
Decocted>>|<<imp. &amp; p. p.>>|<<of Decoct
Decollated>>|<<imp. &amp; p. p.>>|<<of Decollate
Decomposed>>|<<imp. &amp; p. p.>>|<<of Decompose
Decompounded>>|<<imp. &amp; p. p.>>|<<of Decompound
Decorated>>|<<imp. &amp; p. p.>>|<<of Decorate
Decorticated>>|<<imp. &amp; p. p.>>|<<of Decorticate
Decoyed>>|<<imp. &amp; p. p.>>|<<of Decoy
Decreased>>|<<imp. &amp; p. p.>>|<<of Decrease
Decreed>>|<<imp. &amp; p. p.>>|<<of Decree
Decrepitated>>|<<imp. &amp; p. p.>>|<<of Decrepitate
Decried>>|<<imp. &amp; p. p.>>|<<of Decry
Decupled>>|<<imp. &amp; p. p.>>|<<of Decuple
Decussated>>|<<imp. &amp; p. p.>>|<<of Decussate
Dedicated>>|<<imp. &amp; p. p.>>|<<of Dedicate
Deduced>>|<<imp. &amp; p. p.>>|<<of Deduce
Deducted>>|<<imp. &amp; p. p.>>|<<of Deduct
Deemed>>|<<imp. &amp; p. p.>>|<<of Deem
Deepened>>|<<imp. &amp; p. p.>>|<<of Deepen
Defaced>>|<<imp. &amp; p. p.>>|<<of Deface
Defalcated>>|<<imp. &amp; p. p.>>|<<of Defalcate
Defamed>>|<<imp. &amp; p. p.>>|<<of Defame
Defaulted>>|<<imp. &amp; p. p.>>|<<of Default
Defeated>>|<<imp. &amp; p. p.>>|<<of Defeat
Defecated>>|<<imp. &amp; p. p.>>|<<of Defecate
Defended>>|<<imp. &amp; p. p.>>|<<of Defend
Deferred>>|<<imp. &amp; p. p.>>|<<of Defer
Defiladed>>|<<imp. &amp; p. p.>>|<<of Defilade
Defiled>>|<<imp. &amp; p. p.>>|<<of Defile
Defined>>|<<imp. &amp; p. p.>>|<<of Define
Deflagrated>>|<<imp. &amp; p. p.>>|<<of Deflagrate
Deflected>>|<<imp. &amp; p. p.>>|<<of Deflect
Defloured>>|<<imp. &amp; p. p.>>|<<of Deflour
Deforced>>|<<imp. &amp; p. p.>>|<<of Deforce
Deformed>>|<<imp. &amp; p. p.>>|<<of Deform
Defrauded>>|<<imp. &amp; p. p.>>|<<of Defraud
Defrayed>>|<<imp. &amp; p. p.>>|<<of Defray
Defied>>|<<imp. &amp; p. p.>>|<<of Defy
Degarnished>>|<<imp. &amp; p. p.>>|<<of Degarnish
Degenerated>>|<<imp. &amp; p. p.>>|<<of Degenerate
Deglutinated>>|<<imp. &amp; p. p.>>|<<of Deglutinate
Degraded>>|<<imp. &amp; p. p.>>|<<of Degrade
Dehorned>>|<<imp. &amp; p. p.>>|<<of Dehorn
Dehorted>>|<<imp. &amp; p. p.>>|<<of Dehort
Deified>>|<<imp. &amp; p. p.>>|<<of Deify
Deigned>>|<<imp. &amp; p. p.>>|<<of Deign
Dejected>>|<<imp. &amp; p. p.>>|<<of Deject
Delapsed>>|<<imp. &amp; p. p.>>|<<of Delapse
Delated>>|<<imp. &amp; p. p.>>|<<of Delate
Delayed>>|<<imp. &amp; p. p.>>|<<of Delay
Deled>>|<<imp. &amp; p. p.>>|<<of Dele
Delegated>>|<<imp. &amp; p. p.>>|<<of Delegate
Deleted>>|<<imp. &amp; p. p.>>|<<of Delete
Deliberated>>|<<imp. &amp; p. p.>>|<<of Deliberate
Delibrated>>|<<imp. &amp; p. p.>>|<<of Delibrate
Delighted>>|<<imp. &amp; p. p.>>|<<of Delight
Delineated>>|<<imp. &amp; p. p.>>|<<of Delineate
Deliquesced>>|<<imp. &amp; p. p.>>|<<of Deliquesce
Delivered>>|<<imp. &amp; p. p.>>|<<of Deliver
Deluded>>|<<imp. &amp; p. p.>>|<<of Delude
Deluged>>|<<imp. &amp; p. p.>>|<<of Deluge
Delved>>|<<imp. &amp; p. p.>>|<<of Delve
Demanded>>|<<imp. &amp; p. p.>>|<<of Demand
Demeaned>>|<<imp. &amp; p. p.>>|<<of Demean
Demephitized>>|<<imp. &amp; p. p.>>|<<of Demephitize
Demised>>|<<imp. &amp; p. p.>>|<<of Demise
Demitted>>|<<imp. &amp; p. p.>>|<<of Demit
Demolished>>|<<imp. &amp; p. p.>>|<<of Demolish
Demonized>>|<<imp. &amp; p. p.>>|<<of Demonize
Demoralized>>|<<imp. &amp; p. p.>>|<<of Demoralize
Demurred>>|<<imp. &amp; p. p.>>|<<of Demur
Denationalized>>|<<imp. &amp; p. p.>>|<<of Denationalize
Denaturalized>>|<<imp. &amp; p. p.>>|<<of Denaturalize
Denominated>>|<<imp. &amp; p. p.>>|<<of Denominate
Denoted>>|<<imp. &amp; p. p.>>|<<of Denote
Denounced>>|<<imp. &amp; p. p.>>|<<of Denounce
Dented>>|<<imp. &amp; p. p.>>|<<of Dent
Dentized>>|<<imp. &amp; p. p.>>|<<of Dentize
Denied>>|<<imp. &amp; p. p.>>|<<of Deny
Depainted>>|<<imp. &amp; p. p.>>|<<of Depaint
Departed>>|<<imp. &amp; p. p.>>|<<of Depart
Depauperated>>|<<imp. &amp; p. p.>>|<<of Depauperate
Depended>>|<<imp. &amp; p. p.>>|<<of Depend
Dephlegmated>>|<<imp. &amp; p. p.>>|<<of Dephlegmate
Dephlogisticated>>|<<imp. &amp; p. p.>>|<<of Dephlogisticcate
Depicted>>|<<imp. &amp; p. p.>>|<<of Depict
Depictured>>|<<imp. &amp; p. p.>>|<<of Depicture
Depilated>>|<<imp. &amp; p. p.>>|<<of Depilate
Depleted>>|<<imp. &amp; p. p.>>|<<of Deplete
Deplored>>|<<imp. &amp; p. p.>>|<<of Deplore
Deployed>>|<<imp. &amp; p. p.>>|<<of Deploy
Deplumed>>|<<imp. &amp; p. p.>>|<<of Deplume
Depolarized>>|<<imp. &amp; p. p.>>|<<of Depolarize
Deponed>>|<<imp. &amp; p. p.>>|<<of Depone
Depopulated>>|<<imp. &amp; p. p.>>|<<of Depopulate
Deported>>|<<imp. &amp; p. p.>>|<<of Deport
Deposed>>|<<imp. &amp; p. p.>>|<<of Depose
Deposited>>|<<imp. &amp; p. p.>>|<<of Deposit
Depraved>>|<<imp. &amp; p. p.>>|<<of Deprave
Deprecated>>|<<imp. &amp; p. p.>>|<<of Deprecate
Depreciated>>|<<imp. &amp; p. p.>>|<<of Depreciate
Depredated>>|<<imp. &amp; p. p.>>|<<of Depredate
Deprehended>>|<<imp. &amp; p. p.>>|<<of Deprehend
Depressed>>|<<imp. &amp; p. p.>>|<<of Depress
Deprived>>|<<imp. &amp; p. p.>>|<<of Deprive
Depurated>>|<<imp. &amp; p. p.>>|<<of Depurate
Deputed>>|<<imp. &amp; p. p.>>|<<of Depute
Deracinated>>|<<imp. &amp; p. p.>>|<<of Deracinate
Derailed>>|<<imp. &amp; p. p.>>|<<of Derail
Deranged>>|<<imp. &amp; p. p.>>|<<of Derange
Derided>>|<<imp. &amp; p. p.>>|<<of Deride
Derived>>|<<imp. &amp; p. p.>>|<<of Derive
Derogated>>|<<imp. &amp; p. p.>>|<<of Derogate
Descanted>>|<<imp. &amp; p. p.>>|<<of Descant
Descended>>|<<imp. &amp; p. p.>>|<<of Descend
Described>>|<<imp. &amp; p. p.>>|<<of Describe
Descried>>|<<imp. &amp; p. p.>>|<<of Descry
Desecrated>>|<<imp. &amp; p. p.>>|<<of Desecrate
Deserted>>|<<imp. &amp; p. p.>>|<<of Desert
Deserved>>|<<imp. &amp; p. p.>>|<<of Deserve
Desiccated>>|<<imp. &amp; p. p.>>|<<of Desiccate
Desiderated>>|<<imp. &amp; p. p.>>|<<of Desiderate
Designed>>|<<imp. &amp; p. p.>>|<<of Design
Designated>>|<<imp. &amp; p. p.>>|<<of Designate
Desired>>|<<imp. &amp; p. p.>>|<<of Desire
Desisted>>|<<imp. &amp; p. p.>>|<<of Desist
Desked>>|<<imp. &amp; p. p.>>|<<of Desk
Desolated>>|<<imp. &amp; p. p.>>|<<of Desolate
Despaired>>|<<imp. &amp; p. p.>>|<<of Despair
Despised>>|<<imp. &amp; p. p.>>|<<of Despise
Despited>>|<<imp. &amp; p. p.>>|<<of Despite
Despoiled>>|<<imp. &amp; p. p.>>|<<of Despoil
Desponded>>|<<imp. &amp; p. p.>>|<<of Despond
Despumated>>|<<imp. &amp; p. p.>>|<<of Despumate
Destined>>|<<imp. &amp; p. p.>>|<<of Destine
Destroyed>>|<<imp. &amp; p. p.>>|<<of Destroy
Desulphurated>>|<<imp. &amp; p. p.>>|<<of Desulphurate
Detached>>|<<imp. &amp; p. p.>>|<<of Detach
Detailed>>|<<imp. &amp; p. p.>>|<<of Detail
Detained>>|<<imp. &amp; p. p.>>|<<of Detain
Detected>>|<<imp. &amp; p. p.>>|<<of Detect
Deterred>>|<<imp. &amp; p. p.>>|<<of Deter
Deterged>>|<<imp. &amp; p. p.>>|<<of Deterge
Deteriorated>>|<<imp. &amp; p. p.>>|<<of Deteriorate
Determined>>|<<imp. &amp; p. p.>>|<<of Determine
Detested>>|<<imp. &amp; p. p.>>|<<of Detest
Dethroned>>|<<imp. &amp; p. p.>>|<<of Dethrone
Detonated>>|<<imp. &amp; p. p.>>|<<of Detonate
Detonized>>|<<imp. &amp; p. p.>>|<<of Detonize
Detorted>>|<<imp. &amp; p. p.>>|<<of Detort
Detracted>>|<<imp. &amp; p. p.>>|<<of Detract
Detruded>>|<<imp. &amp; p. p.>>|<<of Detrude
Detruncated>>|<<imp. &amp; p. p.>>|<<of Detuncate
Devastated>>|<<imp. &amp; p. p.>>|<<of Devastate
Developed>>|<<imp. &amp; p. p.>>|<<of Develop
Devested>>|<<imp. &amp; p. p.>>|<<of Devest
Deviated>>|<<imp. &amp; p. p.>>|<<of Deviate
Deviled>>|<<imp. &amp; p. p.>>|<<of Devil
Devised>>|<<imp. &amp; p. p.>>|<<of Devise
Devolved>>|<<imp. &amp; p. p.>>|<<of Devolve
Devoted>>|<<imp. &amp; p. p.>>|<<of Devote
Devoured>>|<<imp. &amp; p. p.>>|<<of Devour
Dewed>>|<<imp. &amp; p. p.>>|<<of Dew
Dialed>>|<<imp. &amp; p. p.>>|<<of Dial
Dialyzed>>|<<imp. &amp; p. p.>>|<<of Dialyze
Dibbled>>|<<imp. &amp; p. p.>>|<<of Dibble
Diced>>|<<imp. &amp; p. p.>>|<<of Dice
Dichotomized>>|<<imp. &amp; p. p.>>|<<of Dichotomize
Dictated>>|<<imp. &amp; p. p.>>|<<of Dictate
Died>>|<<imp. &amp; p. p.>>|<<of Die
Dieted>>|<<imp. &amp; p. p.>>|<<of Diet
Differed>>|<<imp. &amp; p. p.>>|<<of Differ
Differenced>>|<<imp. &amp; p. p.>>|<<of Difference
Diffracted>>|<<imp. &amp; p. p.>>|<<of Diffract
Diffused>>|<<imp. &amp; p. p.>>|<<of Diffuse
Dug>>|<<imp. &amp; p. p.>>|<<of Dig
Digested>>|<<imp. &amp; p. p.>>|<<of Digest
Dight>>|<<imp. &amp; p. p.>>|<<of Dight
Dignified>>|<<imp. &amp; p. p.>>|<<of Dignify
Digressed>>|<<imp. &amp; p. p.>>|<<of Digress
Dijudicated>>|<<imp. &amp; p. p.>>|<<of Dijudicate
Diked>>|<<imp. &amp; p. p.>>|<<of Dike
Dilacerated>>|<<imp. &amp; p. p.>>|<<of Dilacerate
Dilapidated>>|<<imp. &amp; p. p.>>|<<of Dilapidate
Dilated>>|<<imp. &amp; p. p.>>|<<of Dilate
Diluted>>|<<imp. &amp; p. p.>>|<<of Dilute
Dimmed>>|<<imp. &amp; p. p.>>|<<of Dim
Dimidiated>>|<<imp. &amp; p. p.>>|<<of Dimidiate
Diminished>>|<<imp. &amp; p. p.>>|<<of Diminish
Dimpled>>|<<imp. &amp; p. p.>>|<<of Dimple
Dinned>>|<<imp. &amp; p. p.>>|<<of Din
Dined>>|<<imp. &amp; p. p.>>|<<of Dine
Dinged>>|<<imp. &amp; p. p.>>|<<of Ding
Dinted>>|<<imp. &amp; p. p.>>|<<of Dint
Dipped>>|<<imp. &amp; p. p.>>|<<of Dip
Directed>>|<<imp. &amp; p. p.>>|<<of Direct
Dirked>>|<<imp. &amp; p. p.>>|<<of Dirk
Dirtied>>|<<imp. &amp; p. p.>>|<<of Dirty
Disabled>>|<<imp. &amp; p. p.>>|<<of Disable
Disabused>>|<<imp. &amp; p. p.>>|<<of Disabuse
